country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of São Paulo,,2020-05-01,-71,-27,-45,-68,-69,27
BR,Brazil,State of São Paulo,,2020-05-02,-63,-8,-53,-52,-31,16
BR,Brazil,State of São Paulo,,2020-05-03,-66,-19,-55,-54,-22,13
BR,Brazil,State of São Paulo,,2020-05-04,-57,-13,-47,-52,-33,18
BR,Brazil,State of São Paulo,,2020-05-05,-57,-10,-46,-52,-36,18
BR,Brazil,State of São Paulo,,2020-05-06,-56,-10,-45,-52,-36,19
BR,Brazil,State of São Paulo,,2020-05-07,-54,2,-40,-51,-36,19
BR,Brazil,State of Sergipe,,2020-02-15,5,1,-22,-11,5,0
BR,Brazil,State of Sergipe,,2020-02-16,-2,0,-1,-19,0,2
BR,Brazil,State of Sergipe,,2020-02-17,-5,-1,-19,-9,10,0
BR,Brazil,State of Sergipe,,2020-02-18,-3,-3,-16,-6,10,0
BR,Brazil,State of Sergipe,,2020-02-19,-4,-6,-12,-7,10,-1
BR,Brazil,State of Sergipe,,2020-02-20,4,2,-3,-1,10,-1
BR,Brazil,State of Sergipe,,2020-02-21,-1,7,-11,4,9,0
BR,Brazil,State of Sergipe,,2020-02-22,-8,7,-1,7,-7,0
BR,Brazil,State of Sergipe,,2020-02-23,-14,1,39,-39,-8,0
BR,Brazil,State of Sergipe,,2020-02-24,-26,-24,93,-53,-59,7
BR,Brazil,State of Sergipe,,2020-02-25,-35,-52,83,-49,-68,4
BR,Brazil,State of Sergipe,,2020-02-26,-21,-19,-5,-15,-37,4
BR,Brazil,State of Sergipe,,2020-02-27,-7,-2,-8,-10,6,1
BR,Brazil,State of Sergipe,,2020-02-28,-9,2,-23,-18,11,1
BR,Brazil,State of Sergipe,,2020-02-29,-8,4,-29,-19,1,5
BR,Brazil,State of Sergipe,,2020-03-01,-11,7,-22,-20,-1,4
BR,Brazil,State of Sergipe,,2020-03-02,-7,5,-15,-14,11,0
BR,Brazil,State of Sergipe,,2020-03-03,-5,4,-12,-6,10,0
BR,Brazil,State of Sergipe,,2020-03-04,-5,1,-6,-7,10,0
BR,Brazil,State of Sergipe,,2020-03-05,-2,3,-1,-11,12,0
BR,Brazil,State of Sergipe,,2020-03-06,-3,4,-15,-11,16,0
BR,Brazil,State of Sergipe,,2020-03-07,0,9,-16,-11,5,2
BR,Brazil,State of Sergipe,,2020-03-08,-2,11,0,-18,2,2
BR,Brazil,State of Sergipe,,2020-03-09,-7,2,-15,-11,12,0
BR,Brazil,State of Sergipe,,2020-03-10,-4,3,-9,-11,11,-1
BR,Brazil,State of Sergipe,,2020-03-11,-4,-2,-8,-19,11,0
BR,Brazil,State of Sergipe,,2020-03-12,-1,0,1,-15,11,-1
BR,Brazil,State of Sergipe,,2020-03-13,-5,1,-17,-13,15,-1
BR,Brazil,State of Sergipe,,2020-03-14,-4,4,-23,-19,5,2
BR,Brazil,State of Sergipe,,2020-03-15,-16,2,-20,-26,0,3
BR,Brazil,State of Sergipe,,2020-03-16,-14,2,-29,-23,-1,2
BR,Brazil,State of Sergipe,,2020-03-17,-38,-14,-23,-45,-40,11
BR,Brazil,State of Sergipe,,2020-03-18,-23,0,-26,-32,-13,6
BR,Brazil,State of Sergipe,,2020-03-19,-29,-5,-27,-36,-19,9
BR,Brazil,State of Sergipe,,2020-03-20,-38,-6,-45,-45,-20,11
BR,Brazil,State of Sergipe,,2020-03-21,-60,-16,-61,-55,-28,14
BR,Brazil,State of Sergipe,,2020-03-22,-73,-31,-70,-68,-30,15
BR,Brazil,State of Sergipe,,2020-03-23,-69,-37,-58,-69,-50,19
BR,Brazil,State of Sergipe,,2020-03-24,-70,-40,-59,-71,-54,19
BR,Brazil,State of Sergipe,,2020-03-25,-70,-39,-53,-75,-54,20
BR,Brazil,State of Sergipe,,2020-03-26,-71,-44,-58,-75,-54,20
BR,Brazil,State of Sergipe,,2020-03-27,-66,-32,-57,-74,-48,20
BR,Brazil,State of Sergipe,,2020-03-28,-68,-33,-67,-72,-39,17
BR,Brazil,State of Sergipe,,2020-03-29,-78,-46,-77,-83,-36,18
BR,Brazil,State of Sergipe,,2020-03-30,-59,-27,-51,-73,-47,17
BR,Brazil,State of Sergipe,,2020-03-31,-58,-22,-49,-70,-46,16
BR,Brazil,State of Sergipe,,2020-04-01,-57,-24,-43,-71,-45,16
BR,Brazil,State of Sergipe,,2020-04-02,-56,-24,-40,-68,-45,16
BR,Brazil,State of Sergipe,,2020-04-03,-59,-22,-54,-68,-42,18
BR,Brazil,State of Sergipe,,2020-04-04,-62,-23,-63,-70,-34,15
BR,Brazil,State of Sergipe,,2020-04-05,-69,-26,-65,-79,-25,14
BR,Brazil,State of Sergipe,,2020-04-06,-56,-19,-49,-72,-45,17
BR,Brazil,State of Sergipe,,2020-04-07,-53,-13,-47,-68,-44,15
BR,Brazil,State of Sergipe,,2020-04-08,-53,-12,-42,-66,-43,15
BR,Brazil,State of Sergipe,,2020-04-09,-48,0,-35,-61,-48,14
BR,Brazil,State of Sergipe,,2020-04-10,-80,-68,-60,-85,-69,21
BR,Brazil,State of Sergipe,,2020-04-11,-59,-14,-59,-72,-36,14
BR,Brazil,State of Sergipe,,2020-04-12,-68,-24,-63,-80,-21,12
BR,Brazil,State of Sergipe,,2020-04-13,-56,-23,-47,-69,-44,16
BR,Brazil,State of Sergipe,,2020-04-14,-55,-23,-46,-69,-42,16
BR,Brazil,State of Sergipe,,2020-04-15,-55,-23,-40,-71,-42,16
BR,Brazil,State of Sergipe,,2020-04-16,-54,-21,-40,-69,-42,16
BR,Brazil,State of Sergipe,,2020-04-17,-56,-22,-51,-69,-38,17
BR,Brazil,State of Sergipe,,2020-04-18,-63,-25,-65,-71,-31,15
BR,Brazil,State of Sergipe,,2020-04-19,-71,-28,-67,-81,-24,15
BR,Brazil,State of Sergipe,,2020-04-20,-52,-18,-45,-66,-43,15
BR,Brazil,State of Sergipe,,2020-04-21,-70,-50,-51,-81,-65,19
BR,Brazil,State of Sergipe,,2020-04-22,-52,-20,-43,-66,-38,13
BR,Brazil,State of Sergipe,,2020-04-23,-59,-34,-57,-70,-42,17
BR,Brazil,State of Sergipe,,2020-04-24,-58,-25,-59,-68,-37,16
BR,Brazil,State of Sergipe,,2020-04-25,-59,-22,-63,-69,-26,14
BR,Brazil,State of Sergipe,,2020-04-26,-68,-24,-65,-78,-19,13
BR,Brazil,State of Sergipe,,2020-04-27,-52,-21,-49,-65,-37,15
BR,Brazil,State of Sergipe,,2020-04-28,-50,-20,-51,-63,-37,11
BR,Brazil,State of Sergipe,,2020-04-29,-52,-20,-42,-62,-36,14
BR,Brazil,State of Sergipe,,2020-04-30,-48,-3,-36,-54,-34,12
BR,Brazil,State of Sergipe,,2020-05-01,-75,-48,-60,-80,-63,21
BR,Brazil,State of Sergipe,,2020-05-02,-61,-12,-61,-66,-26,13
BR,Brazil,State of Sergipe,,2020-05-03,-71,-21,-62,-79,-18,13
BR,Brazil,State of Sergipe,,2020-05-04,-55,-14,-47,-62,-35,14
BR,Brazil,State of Sergipe,,2020-05-05,-54,-9,-47,-60,-35,13
BR,Brazil,State of Sergipe,,2020-05-06,-54,-11,-41,-62,-35,14
BR,Brazil,State of Sergipe,,2020-05-07,-54,-13,-46,-62,-37,15
BR,Brazil,State of Tocantins,,2020-02-15,4,0,9,-6,9,0
BR,Brazil,State of Tocantins,,2020-02-16,2,0,3,-8,2,1
BR,Brazil,State of Tocantins,,2020-02-17,-3,-3,-2,-3,20,-1
BR,Brazil,State of Tocantins,,2020-02-18,-4,-6,-14,1,20,-1
BR,Brazil,State of Tocantins,,2020-02-19,-4,-8,-7,1,18,-1
BR,Brazil,State of Tocantins,,2020-02-20,-2,-4,-7,8,18,-1
BR,Brazil,State of Tocantins,,2020-02-21,0,2,-6,19,20,-2
BR,Brazil,State of Tocantins,,2020-02-22,6,6,49,22,1,-2
BR,Brazil,State of Tocantins,,2020-02-23,10,1,61,-17,-5,-1
BR,Brazil,State of Tocantins,,2020-02-24,-10,-10,137,-28,-42,5
BR,Brazil,State of Tocantins,,2020-02-25,-29,-26,78,-21,-57,7
BR,Brazil,State of Tocantins,,2020-02-26,-8,-11,30,0,-9,3
BR,Brazil,State of Tocantins,,2020-02-27,-8,-7,-4,-5,18,0
BR,Brazil,State of Tocantins,,2020-02-28,-7,-2,-17,-9,22,0
BR,Brazil,State of Tocantins,,2020-02-29,-2,1,-9,-11,9,3
BR,Brazil,State of Tocantins,,2020-03-01,-1,5,2,-7,3,3
BR,Brazil,State of Tocantins,,2020-03-02,-6,-3,-16,-3,22,-1
BR,Brazil,State of Tocantins,,2020-03-03,-6,-5,-27,-1,20,-1
BR,Brazil,State of Tocantins,,2020-03-04,1,-1,-13,-1,21,-1
BR,Brazil,State of Tocantins,,2020-03-05,2,1,-5,1,22,-2
BR,Brazil,State of Tocantins,,2020-03-06,4,4,-15,1,25,-2
BR,Brazil,State of Tocantins,,2020-03-07,14,10,7,-2,10,0
BR,Brazil,State of Tocantins,,2020-03-08,12,7,5,-11,6,1
BR,Brazil,State of Tocantins,,2020-03-09,-1,0,-6,2,23,-2
BR,Brazil,State of Tocantins,,2020-03-10,-5,-6,-25,1,20,-1
BR,Brazil,State of Tocantins,,2020-03-11,3,0,0,5,21,-3
BR,Brazil,State of Tocantins,,2020-03-12,2,0,-1,6,21,-2
BR,Brazil,State of Tocantins,,2020-03-13,-1,1,-10,9,24,-2
BR,Brazil,State of Tocantins,,2020-03-14,3,5,-7,10,9,1
BR,Brazil,State of Tocantins,,2020-03-15,-4,4,-10,3,5,2
BR,Brazil,State of Tocantins,,2020-03-16,-9,-1,-4,-4,9,2
BR,Brazil,State of Tocantins,,2020-03-17,-11,0,-13,-8,2,4
BR,Brazil,State of Tocantins,,2020-03-18,-16,3,-11,-11,-2,5
BR,Brazil,State of Tocantins,,2020-03-19,-44,-7,-19,-32,-30,13
BR,Brazil,State of Tocantins,,2020-03-20,-45,-8,-36,-33,-19,13
BR,Brazil,State of Tocantins,,2020-03-21,-59,-20,-44,-40,-20,13
BR,Brazil,State of Tocantins,,2020-03-22,-69,-36,-50,-57,-26,13
BR,Brazil,State of Tocantins,,2020-03-23,-60,-24,-33,-59,-31,16
BR,Brazil,State of Tocantins,,2020-03-24,-69,-37,-46,-66,-42,19
BR,Brazil,State of Tocantins,,2020-03-25,-66,-33,-35,-72,-42,19
BR,Brazil,State of Tocantins,,2020-03-26,-65,-34,-34,-69,-41,19
BR,Brazil,State of Tocantins,,2020-03-27,-62,-29,-39,-68,-37,18
BR,Brazil,State of Tocantins,,2020-03-28,-64,-30,-37,-69,-30,14
BR,Brazil,State of Tocantins,,2020-03-29,-61,-31,-35,-71,-19,11
BR,Brazil,State of Tocantins,,2020-03-30,-48,-24,-19,-62,-29,14
BR,Brazil,State of Tocantins,,2020-03-31,-44,-18,-27,-58,-29,14
BR,Brazil,State of Tocantins,,2020-04-01,-42,-15,-19,-58,-28,14
BR,Brazil,State of Tocantins,,2020-04-02,-42,-17,-19,-56,-28,14
BR,Brazil,State of Tocantins,,2020-04-03,-45,-13,-28,-55,-25,14
BR,Brazil,State of Tocantins,,2020-04-04,-48,-13,-28,-57,-18,11
BR,Brazil,State of Tocantins,,2020-04-05,-54,-22,-29,-63,-16,9
BR,Brazil,State of Tocantins,,2020-04-06,-38,-14,-17,-54,-25,13
BR,Brazil,State of Tocantins,,2020-04-07,-37,-11,-23,-52,-25,12
BR,Brazil,State of Tocantins,,2020-04-08,-36,-10,-16,-54,-27,12
BR,Brazil,State of Tocantins,,2020-04-09,-35,-2,-9,-50,-33,11
BR,Brazil,State of Tocantins,,2020-04-10,-72,-41,-24,-74,-68,21
BR,Brazil,State of Tocantins,,2020-04-11,-51,-17,-27,-64,-26,11
BR,Brazil,State of Tocantins,,2020-04-12,-54,-25,-34,-64,-15,6
BR,Brazil,State of Tocantins,,2020-04-13,-36,-17,-21,-54,-22,11
BR,Brazil,State of Tocantins,,2020-04-14,-42,-22,-37,-55,-25,14
BR,Brazil,State of Tocantins,,2020-04-15,-37,-18,-27,-53,-23,13
BR,Brazil,State of Tocantins,,2020-04-16,-36,-16,-24,-51,-22,13
BR,Brazil,State of Tocantins,,2020-04-17,-42,-17,-34,-54,-20,14
BR,Brazil,State of Tocantins,,2020-04-18,-45,-14,-35,-56,-12,10
BR,Brazil,State of Tocantins,,2020-04-19,-50,-18,-33,-63,-10,8
BR,Brazil,State of Tocantins,,2020-04-20,-34,-11,-14,-56,-28,12
BR,Brazil,State of Tocantins,,2020-04-21,-63,-36,-32,-68,-60,20
BR,Brazil,State of Tocantins,,2020-04-22,-32,-15,-22,-51,-19,11
BR,Brazil,State of Tocantins,,2020-04-23,-37,-20,-29,-51,-19,13
BR,Brazil,State of Tocantins,,2020-04-24,-37,-12,-33,-50,-15,12
BR,Brazil,State of Tocantins,,2020-04-25,-40,-13,-32,-54,-9,10
BR,Brazil,State of Tocantins,,2020-04-26,-46,-18,-32,-59,-6,8
BR,Brazil,State of Tocantins,,2020-04-27,-33,-16,-19,-50,-15,11
BR,Brazil,State of Tocantins,,2020-04-28,-34,-14,-30,-49,-18,9
BR,Brazil,State of Tocantins,,2020-04-29,-34,-11,-21,-47,-17,12
BR,Brazil,State of Tocantins,,2020-04-30,-29,0,-18,-44,-18,10
BR,Brazil,State of Tocantins,,2020-05-01,-64,-42,-17,-65,-60,19
BR,Brazil,State of Tocantins,,2020-05-02,-43,-6,-27,-57,-17,11
BR,Brazil,State of Tocantins,,2020-05-03,-53,-21,-32,-62,-11,8
BR,Brazil,State of Tocantins,,2020-05-04,-32,-7,-18,-51,-16,11
BR,Brazil,State of Tocantins,,2020-05-05,-33,-5,-27,-47,-17,12
BR,Brazil,State of Tocantins,,2020-05-06,-30,-4,-18,-46,-18,13
BR,Brazil,State of Tocantins,,2020-05-07,-33,-4,-20,-45,-18,13
